,invoice_id,glean_text,glean_type,invoice_date,glean_location,canonical_vendor_id
51,67078ec4-bfb2-4e94-bfd8-eab88d37ced3,First new bill in 16.0 months from vendor 3d2e310c-a166-42e6-a6d8-fe28f38acbd7,vendor_not_seen_in_a_while,2020-10-30,invoice,3d2e310c-a166-42e6-a6d8-fe28f38acbd7
52,2c1f3e3c-af1a-471d-8df6-363b138aa119,First new bill in 8.0 months from vendor 5bf5e44e-fd30-44b7-8da3-19b228a47fef,vendor_not_seen_in_a_while,2020-03-20,invoice,5bf5e44e-fd30-44b7-8da3-19b228a47fef
53,09032da5-8c7b-4e1f-b721-ca680711eb15,First new bill in 10.0 months from vendor 257bfd04-398c-4762-9c14-e0cdf8f26dfd,vendor_not_seen_in_a_while,2020-05-06,invoice,257bfd04-398c-4762-9c14-e0cdf8f26dfd
54,9128256b-fa75-4f25-8b74-1a18a8c46282,First new bill in 7.0 months from vendor da721a36-1290-4312-9d76-557c19c5736e,vendor_not_seen_in_a_while,2020-07-22,invoice,da721a36-1290-4312-9d76-557c19c5736e
55,6b694a05-c771-44b6-bc06-d095053dbef8,First new bill in 6.0 months from vendor 27184514-17c5-466d-9f68-e02253695bfa,vendor_not_seen_in_a_while,2019-08-01,invoice,27184514-17c5-466d-9f68-e02253695bfa
56,b7aafc70-0e51-4e33-bf2f-a00da5b387db,First new bill in 4.0 months from vendor 27184514-17c5-466d-9f68-e02253695bfa,vendor_not_seen_in_a_while,2019-12-01,invoice,27184514-17c5-466d-9f68-e02253695bfa
57,da462169-1a02-431b-af9c-aa4696aa12a2,First new bill in 7.0 months from vendor 27184514-17c5-466d-9f68-e02253695bfa,vendor_not_seen_in_a_while,2020-08-01,invoice,27184514-17c5-466d-9f68-e02253695bfa
58,765a2e3f-c64c-4546-bb16-ea612cdb68a2,First new bill in 3.0 months from vendor 27184514-17c5-466d-9f68-e02253695bfa,vendor_not_seen_in_a_while,2020-11-01,invoice,27184514-17c5-466d-9f68-e02253695bfa
59,f8faebd3-ec46-4ff9-901d-a8138ae7c697,First new bill in 5.0 months from vendor f565cf0f-7421-4987-91a2-d3c43210facc,vendor_not_seen_in_a_while,2020-08-10,invoice,f565cf0f-7421-4987-91a2-d3c43210facc
60,dcf8f9de-d2db-4b04-aa64-1d26172ce426,First new bill in 4.0 months from vendor 86ccadec-b5e3-4a76-89ca-062dd98bbf88,vendor_not_seen_in_a_while,2020-11-30,invoice,86ccadec-b5e3-4a76-89ca-062dd98bbf88
61,b6cf528c-a436-4735-b5ac-b687ed107f2c,First new bill in 17.0 months from vendor b46d7ca6-ca5f-44ce-afc8-d492f69c7e32,vendor_not_seen_in_a_while,2020-12-08,invoice,b46d7ca6-ca5f-44ce-afc8-d492f69c7e32
62,314123f7-9f43-4b42-904c-4d41d53b0416,First new bill in 3.0 months from vendor 21fb3f80-6e2a-4558-8395-92291c594060,vendor_not_seen_in_a_while,2020-08-01,invoice,21fb3f80-6e2a-4558-8395-92291c594060
63,3f7ee123-da31-4da6-9e4a-955036917a82,First new bill in 4.0 months from vendor 29565c48-872e-4a2a-a582-00dcdac573a1,vendor_not_seen_in_a_while,2020-11-05,invoice,29565c48-872e-4a2a-a582-00dcdac573a1
64,5d54a4bb-1b21-4ae8-bbe4-48902789f042,First new bill in 7.0 months from vendor b93ecf73-001d-4f4e-a51d-8be42d9f6566,vendor_not_seen_in_a_while,2020-03-01,invoice,b93ecf73-001d-4f4e-a51d-8be42d9f6566
65,0fa4a2b0-91eb-4127-9330-30eadf5a2c36,First new bill in 3.0 months from vendor b93ecf73-001d-4f4e-a51d-8be42d9f6566,vendor_not_seen_in_a_while,2020-12-01,invoice,b93ecf73-001d-4f4e-a51d-8be42d9f6566
66,679dcf8f-b85a-4fed-8a87-06011ee08090,First new bill in 5.0 months from vendor 89e07175-feef-43ea-a989-f96ad4d52fc5,vendor_not_seen_in_a_while,2020-03-30,invoice,89e07175-feef-43ea-a989-f96ad4d52fc5
67,378f3ba8-3fc8-4e00-b0fe-33ee4fe00ef9,First new bill in 5.0 months from vendor 89e07175-feef-43ea-a989-f96ad4d52fc5,vendor_not_seen_in_a_while,2020-12-03,invoice,89e07175-feef-43ea-a989-f96ad4d52fc5
68,59dab3e6-9d48-43d4-8709-c7afee474254,First new bill in 4.0 months from vendor 80255121-e6ff-4d27-ab0f-967834bbd068,vendor_not_seen_in_a_while,2020-12-02,invoice,80255121-e6ff-4d27-ab0f-967834bbd068
69,cd44eb6d-d84d-4bb1-9ff9-0e56d14e4f01,First new bill in 4.0 months from vendor b21a0540-aaff-4d8d-ad8e-4430809fe0ff,vendor_not_seen_in_a_while,2020-11-13,invoice,b21a0540-aaff-4d8d-ad8e-4430809fe0ff
70,8aee1c4c-5297-455c-8424-a1dcb50f5966,First new bill in 10.0 months from vendor 1e71abd5-41e3-488d-bb1c-9e48f3790846,vendor_not_seen_in_a_while,2020-01-24,invoice,1e71abd5-41e3-488d-bb1c-9e48f3790846
71,b2e50430-7d2e-4139-8d16-ebd428a82501,First new bill in 4.0 months from vendor 1e71abd5-41e3-488d-bb1c-9e48f3790846,vendor_not_seen_in_a_while,2020-07-22,invoice,1e71abd5-41e3-488d-bb1c-9e48f3790846
72,60b339d1-4543-429e-a956-bf57db148555,First new bill in 4.0 months from vendor 8b841974-e08f-4259-b81c-42e9e4e52ce0,vendor_not_seen_in_a_while,2020-11-13,invoice,8b841974-e08f-4259-b81c-42e9e4e52ce0
73,0bba62d3-3781-4b8d-9707-13494fff7fd3,First new bill in 3.0 months from vendor 8db7096a-752d-433f-a263-555b035c7836,vendor_not_seen_in_a_while,2020-03-27,invoice,8db7096a-752d-433f-a263-555b035c7836
74,84229a05-8ad0-4453-aa02-7fc941abfd4b,First new bill in 4.0 months from vendor 8db7096a-752d-433f-a263-555b035c7836,vendor_not_seen_in_a_while,2020-07-24,invoice,8db7096a-752d-433f-a263-555b035c7836
75,29a4fcb6-c841-4719-b3b5-82a99c4bed05,First new bill in 5.0 months from vendor f51bef62-eaee-4469-a595-f5617240ffd7,vendor_not_seen_in_a_while,2020-05-31,invoice,f51bef62-eaee-4469-a595-f5617240ffd7
76,6b195fcd-b808-402e-b861-6bb3e74a279d,First new bill in 4.0 months from vendor 3cac8be6-0624-4009-a020-ba55673e747f,vendor_not_seen_in_a_while,2020-11-30,invoice,3cac8be6-0624-4009-a020-ba55673e747f
77,516813f6-610c-4d79-9f65-2a37068310dd,First new bill in 4.0 months from vendor a77018fe-ac76-45bd-a716-fe514eccff4c,vendor_not_seen_in_a_while,2019-10-04,invoice,a77018fe-ac76-45bd-a716-fe514eccff4c
78,60f5c828-dec2-4315-8f19-9ab8904c99c3,First new bill in 14.0 months from vendor a77018fe-ac76-45bd-a716-fe514eccff4c,vendor_not_seen_in_a_while,2020-12-02,invoice,a77018fe-ac76-45bd-a716-fe514eccff4c
79,c88b4727-23fc-4fd6-a28d-231f1d6ba4ea,First new bill in 6.0 months from vendor 5563cff8-b050-45e9-89d3-eb079dfeb12a,vendor_not_seen_in_a_while,2020-06-23,invoice,5563cff8-b050-45e9-89d3-eb079dfeb12a
80,7da68667-4f3c-4b9d-b9ac-6db57ce49494,First new bill in 13.0 months from vendor 021143b8-0357-4836-ab87-50a9756d8156,vendor_not_seen_in_a_while,2020-06-22,invoice,021143b8-0357-4836-ab87-50a9756d8156
81,8b16d573-35fb-42bb-945d-ff15c9c64645,First new bill in 8.0 months from vendor ccbbb78a-7cb7-4241-8062-03c16ed80114,vendor_not_seen_in_a_while,2020-05-29,invoice,ccbbb78a-7cb7-4241-8062-03c16ed80114
82,82628348-faac-4c6b-91c5-eea98a9bd7fb,First new bill in 6.0 months from vendor 9902c4c2-0232-461f-95be-4cca2af048e9,vendor_not_seen_in_a_while,2019-12-23,invoice,9902c4c2-0232-461f-95be-4cca2af048e9
83,2ed48c62-bc57-431e-a807-27e3b0c2e1da,First new bill in 3.0 months from vendor 3ae52557-3479-429d-b08c-3fd76b3f6976,vendor_not_seen_in_a_while,2020-06-01,invoice,3ae52557-3479-429d-b08c-3fd76b3f6976
84,97413a14-32ea-46cd-bb57-0ce495d0fe9e,First new bill in 3.0 months from vendor c4f17ca4-2a0f-4141-b39b-a8862dc1dfda,vendor_not_seen_in_a_while,2019-07-01,invoice,c4f17ca4-2a0f-4141-b39b-a8862dc1dfda
85,755b9528-4baa-42be-a6fb-6230b80a8c6f,First new bill in 3.0 months from vendor c4f17ca4-2a0f-4141-b39b-a8862dc1dfda,vendor_not_seen_in_a_while,2019-10-01,invoice,c4f17ca4-2a0f-4141-b39b-a8862dc1dfda
86,410a5f09-65f2-4ea1-b281-5853461f6221,First new bill in 8.0 months from vendor c4f17ca4-2a0f-4141-b39b-a8862dc1dfda,vendor_not_seen_in_a_while,2020-06-04,invoice,c4f17ca4-2a0f-4141-b39b-a8862dc1dfda
87,8cb5e24c-2ebd-489b-a2d9-a36caee0fb52,First new bill in 4.0 months from vendor c4f17ca4-2a0f-4141-b39b-a8862dc1dfda,vendor_not_seen_in_a_while,2020-11-01,invoice,c4f17ca4-2a0f-4141-b39b-a8862dc1dfda
88,20c2b6d7-2529-4023-a15b-2a3719ae6a6e,First new bill in 4.0 months from vendor 3c1f0ab8-e203-4d12-a787-acb626e0af06,vendor_not_seen_in_a_while,2020-03-23,invoice,3c1f0ab8-e203-4d12-a787-acb626e0af06
89,7e44ac09-474c-41ec-a971-50d4a7517033,First new bill in 5.0 months from vendor af77b10e-791e-4b43-a1eb-116e3e4bc4ec,vendor_not_seen_in_a_while,2019-12-31,invoice,af77b10e-791e-4b43-a1eb-116e3e4bc4ec
90,cef88711-29f9-4528-b513-697451b55921,First new bill in 3.0 months from vendor 3765dbe9-971b-4584-806b-1c42411fa0c2,vendor_not_seen_in_a_while,2020-06-30,invoice,3765dbe9-971b-4584-806b-1c42411fa0c2
91,93579af8-4dfb-4e16-8e2f-bbfe3c4c9a3a,First new bill in 11.0 months from vendor fa55b0fc-3094-4fe0-8401-db844e15c7a4,vendor_not_seen_in_a_while,2020-07-22,invoice,fa55b0fc-3094-4fe0-8401-db844e15c7a4
92,55053ebb-bd16-407b-a5b4-b36242dec399,First new bill in 6.0 months from vendor 1d937e0f-683d-4958-9ebd-6c6156899afc,vendor_not_seen_in_a_while,2019-08-17,invoice,1d937e0f-683d-4958-9ebd-6c6156899afc
93,f59be936-6ff8-4657-9d75-cb336c861e67,First new bill in 10.0 months from vendor 638e18e6-906b-4dc2-af56-7b12107fdf70,vendor_not_seen_in_a_while,2020-04-10,invoice,638e18e6-906b-4dc2-af56-7b12107fdf70
94,f2de811b-7cd4-489f-ad8e-03f7b24b395e,First new bill in 3.0 months from vendor 28e56fde-ad44-4a12-8ac0-6a0ea7565313,vendor_not_seen_in_a_while,2020-11-01,invoice,28e56fde-ad44-4a12-8ac0-6a0ea7565313
95,1b516a53-7945-437f-868b-7ee631b66f4c,First new bill in 4.0 months from vendor acd10343-3667-4457-9d2f-3719b80379fa,vendor_not_seen_in_a_while,2020-11-13,invoice,acd10343-3667-4457-9d2f-3719b80379fa
96,db1dece5-93b9-4bcf-b041-937542b91a44,First new bill in 10.0 months from vendor 4fcbbc40-71cc-4aa8-84f2-32093f94bcb8,vendor_not_seen_in_a_while,2020-11-08,invoice,4fcbbc40-71cc-4aa8-84f2-32093f94bcb8
97,30b88037-7ac1-40b7-a39b-8649abb8c4e9,First new bill in 5.0 months from vendor 99a9882c-a221-44f7-8ebe-70bcbd44f037,vendor_not_seen_in_a_while,2020-08-31,invoice,99a9882c-a221-44f7-8ebe-70bcbd44f037
98,bee78f9f-2da0-4435-b84f-74720824a734,First new bill in 5.0 months from vendor a96c5d60-7df0-4360-b714-02ef221e4bd0,vendor_not_seen_in_a_while,2019-07-21,invoice,a96c5d60-7df0-4360-b714-02ef221e4bd0
